epoch,loss,loss_natural,loss_robust,lambda_min,lambda_max,lambda_mean,acc_natural,acc_robust,robust_drop,attack_success_rate,alpha_c_0,alpha_c_1,alpha_c_2,alpha_c_3,alpha_c_4,alpha_c_5,alpha_c_6,alpha_c_7,alpha_c_8,alpha_c_9,beta_c_0,beta_c_1,beta_c_2,beta_c_3,beta_c_4,beta_c_5,beta_c_6,beta_c_7,beta_c_8,beta_c_9
15,1.241032735786438,0.0,0.0,0.4145672917366028,3.0,2.901212988607109,0.7147,0.3961,0.3186,0.6039,1.202521755567292,1.001540555673487,1.849864823129171,1.995418701025531,1.9283308626135902,1.7521399082735067,1.8044263371421247,1.4887491626202907,1.2372779690701028,1.3155100116949252,1.4249262660360702,1.8449573211962609,1.156217340008377,1.1780470484662848,1.3509821663122348,1.0775122569345148,1.1133928384317462,1.2583106353764644,1.5154971777630584,1.8761829345122627
16,1.2251285876846314,0.0,0.0,0.45933330059051514,3.0,2.895402575392857,0.7356,0.38039999999999996,0.35520000000000007,0.6196,1.2017052816917828,1.003488915960502,1.8519985797765004,1.9980111606895465,1.914744689031635,1.7567548821954166,1.8041027375804188,1.4827450647988283,1.2310676300312247,1.3202925289378447,1.3927685909563927,1.871422206349385,1.174767141451921,1.2063484146162067,1.3173939645137933,1.12774972994919,1.0926780090917407,1.2486904332095095,1.5131882233997744,1.8581944569907225
17,1.2196828862762452,0.0,0.0,0.2946745753288269,3.0,2.8917117076151815,0.7425999999999999,0.3861,0.35649999999999993,0.6139,1.1965668600843387,1.0018365285585604,1.8543227203666706,1.9973051002263413,1.9203845128378905,1.7372390065351715,1.8085473989281813,1.4652176952118154,1.2282418241281339,1.3124053953858592,1.4292330211385742,1.8302701720801156,1.1499227663440168,1.1771135305809548,1.359055499896369,1.1439320077676602,1.0996513692924128,1.3307267811597157,1.5826609351141068,1.9248345084202565
18,1.2103194633865357,0.0,0.0,0.4415764808654785,3.0,2.888925204191671,0.7456,0.3891,0.35650000000000004,0.6109,1.1975733852752335,1.0016470473745596,1.8685382400327326,1.9950603710111146,1.925446923431533,1.7454362750968055,1.8091441054478326,1.4793912965013547,1.230730411341733,1.3126372147704024,1.4261830258552375,1.848221039528127,1.1795506602358026,1.185872682525069,1.3819044791828945,1.1893061804954352,1.0818137464011113,1.2316295423775987,1.5799335412052282,1.8875530104502998
19,1.2036489381027222,0.0,0.0,0.4223845303058624,3.0,2.8860667507971645,0.7296,0.4074,0.32220000000000004,0.5926,1.199803316379752,1.002660528168349,1.8656093674852414,1.9970324908376045,1.9279137743098655,1.7489616995882196,1.8150158324814818,1.4551110929235473,1.2274822752798915,1.3040390901858239,1.4390378620313562,1.8782322415915291,1.1746101385492194,1.2240957082689876,1.4098487147284895,1.1974648944557171,1.0680358943427006,1.2449461349745845,1.5302274547269583,1.8754805149629599
20,1.2002287843322754,0.0,0.0,0.3489973843097687,3.0,2.882898536789448,0.7374,0.4151,0.32230000000000003,0.5849,1.2341266346099737,1.0009664041002084,1.8703135602614458,1.9961463780049473,1.9260000560594641,1.747557266898777,1.808854947919431,1.4726830092842316,1.247389091250232,1.3330717312405482,1.3776623068563163,1.829271113781063,1.191075018604698,1.2071875766720004,1.4219917129067814,1.193631551454744,1.105333333430083,1.2952683624404167,1.5078150549203233,1.885223486539348
21,1.1944064821243285,0.0,0.0,0.3649345934391022,3.0,2.881601541548434,0.714,0.38870000000000005,0.3252999999999999,0.6113,1.2058276904513463,1.001072498233727,1.849020467999646,1.9961213044193395,1.915757426825326,1.7471418585008978,1.7906847561106962,1.451907617356771,1.2374914351021846,1.309781727278629,1.4452174405002838,1.805953084355425,1.1759312896777296,1.2623946560008446,1.403470787245904,1.2221403500003278,1.0968579883160798,1.2750500279009496,1.5503528011424461,1.8888804046699152
22,1.192435334815979,0.0,0.0,0.40041041374206543,3.0,2.879621216098366,0.7217,0.39380000000000004,0.32789999999999997,0.6062,1.194661915149835,1.0062228154648296,1.8533960257649726,1.9976485720680803,1.9318679183950205,1.733309950060247,1.8144186963815518,1.453224285484275,1.2316598895260744,1.3075376093540045,1.5097724604789557,1.8317745210569534,1.1925660429708183,1.2316622142596623,1.420940031176028,1.1703681817749882,1.1349704591819392,1.3348408458787766,1.5287821289828367,1.890630077523039
23,1.184835687789917,0.0,0.0,0.39849981665611267,3.0,2.8791324116689774,0.7295,0.4115,0.31800000000000006,0.5885,1.1976917811366907,1.0065225987788051,1.843026706934585,1.9977167106955254,1.926086262668795,1.74471832571737,1.8042648341649634,1.456795614698659,1.2284656226482538,1.307894892094995,1.4383328113409564,1.8531474981771405,1.2008854876393857,1.2625670530607023,1.425757881930417,1.1792869705068485,1.0860927446419015,1.2355456562603222,1.5431517679673021,1.8616710331128992
24,1.1797027690505981,0.0,0.0,0.39848801493644714,3.0,2.8776656794730964,0.7524,0.41779999999999995,0.3346,0.5822,1.2125741834835628,1.002981173412879,1.845740616169122,1.9930648175651764,1.919079333315115,1.7461870225799052,1.7984739706644317,1.4406844456787304,1.2411917935856773,1.3106403231925672,1.4180444847897191,1.8221039061656084,1.1686583678130908,1.2665924769838144,1.4215663485514842,1.1709661480715818,1.1004114678448729,1.2213316549120656,1.5083572681602615,1.8382681361244768
25,1.1765717420196533,0.0,0.0,0.39462903141975403,3.0,2.872225669948646,0.7605,0.4121,0.34839999999999993,0.5879,1.2037049013635386,1.0006505747890229,1.8661870901541942,1.9930671587624513,1.9318232423509174,1.7517984398185749,1.811415090890187,1.455730875434778,1.2405829158280512,1.3098315710911665,1.417885090079149,1.7996871257986864,1.192957682377847,1.2760066571442976,1.4252341101541544,1.1657012240661075,1.1144377359039033,1.257538787544231,1.5322561395137817,1.8912843593855952
26,1.1747136387634278,0.0,0.0,0.30067208409309387,3.0,2.8715160856466464,0.7449,0.4084,0.3365,0.5916,1.2056025211768382,1.0022706909252859,1.8612942238293035,1.9934630979357473,1.9350032086872384,1.750900557278977,1.8050480840151266,1.4669327720656724,1.2490153416343357,1.3090662803796247,1.4234928017687005,1.7947333121238767,1.211265521890977,1.3148098705369797,1.4067504424268327,1.2166944833667688,1.1052407642154742,1.2077021263444516,1.5115832416602717,1.888352515142592
27,1.1678665591812134,0.0,0.0,0.3205234706401825,3.0,2.8709285905598985,0.7341,0.3901,0.344,0.6099,1.2095948686380216,1.0018901776169877,1.860789610906635,1.9973777492942713,1.9249120353127989,1.7420616320636877,1.8057010323190323,1.4542273414104492,1.2423742482119509,1.2940467092996972,1.4492188012203597,1.8418937769082502,1.212957582510341,1.2605295208713891,1.432676093047842,1.1611127691805516,1.1205627582872006,1.2561341649126214,1.532010891553386,1.8847631310562953
28,1.1673465755844117,0.0,0.0,0.33224448561668396,3.0,2.8705113287776935,0.7435,0.387,0.35650000000000004,0.613,1.2350952308196241,1.0040396558659157,1.8538249474962045,1.9975962904103273,1.9288070226264427,1.739335696410645,1.8173346519470215,1.4618723258338011,1.2376767570710243,1.3120591771572143,1.4548217381357842,1.8232836183684562,1.2154916098050754,1.2511832503711475,1.4118581559042187,1.2895183307130624,1.0943222612980992,1.2598158328429512,1.5467133915332882,1.8427193606905925
29,1.1638221630477905,0.0,0.0,0.3298417031764984,3.0,2.864532975589528,0.7301,0.4143,0.31579999999999997,0.5857,1.2216250893405027,1.001446563264598,1.8563543347751392,1.995547411691807,1.9306042523640197,1.7523215371934349,1.807310031807941,1.4376035736649848,1.2724224774124067,1.306196334721792,1.4207423541247082,1.720479713986292,1.247984887388966,1.3045880828062286,1.4638943217904365,1.2966575457921723,1.1142259555704452,1.2085923069273419,1.626574331537232,1.90322702467594
30,1.157918207397461,0.0,0.0,0.35558122396469116,3.0,2.866201352585307,0.74,0.39670000000000005,0.34329999999999994,0.6033,1.2258607429616593,1.0008201803392767,1.851391984373712,1.9972636138691622,1.9240722994670234,1.733828087292059,1.8167609796499657,1.4476217720514672,1.239279289379754,1.2938300767518065,1.3987973239415747,1.779827724942161,1.235243807058505,1.2631408579819037,1.4073066354712562,1.2339529125281916,1.0902693439322664,1.307719027294832,1.5734007166474677,1.89130602163427
31,1.1581939140319824,0.0,0.0,0.31338366866111755,3.0,2.864462795160006,0.7601,0.4075,0.3526,0.5925,1.2210640803627346,1.0019022104380382,1.8590324095752844,1.9910899675105844,1.930661730449218,1.7613047382715719,1.8031547084793715,1.4546631666095666,1.2527980121505229,1.3153297715174876,1.4322211745449953,1.713071339880414,1.224158045885813,1.2513048054312197,1.4084326077605147,1.235103113876889,1.1237949855492244,1.2511172474497725,1.5491834409401546,1.8916170292193322
32,1.1572754730606079,0.0,0.0,0.34492990374565125,3.0,2.863847376440492,0.7624,0.41059999999999997,0.3518,0.5894,1.2276213281904644,1.0013981624637418,1.862285366753483,1.9953791836033696,1.9357091410995444,1.7516790415015062,1.8128259395394484,1.462827991646574,1.259531033618371,1.3158326017887085,1.450494396107276,1.7781861599753885,1.2552814809867487,1.273909933731684,1.4988385377942448,1.2615889280348482,1.0940911150954264,1.3253413761973076,1.5330904883801784,1.9044596661082314
33,1.155481668395996,0.0,0.0,0.31711438298225403,3.0,2.8644068478928197,0.7545999999999999,0.42310000000000003,0.3314999999999999,0.5769,1.2191553356702372,1.0038329472627177,1.846434571858867,1.9967405140552374,1.9366925921281586,1.7450164623577575,1.8145958721790167,1.4544582979758378,1.2448488260474047,1.3057315236772113,1.3983002437654968,1.780911925503665,1.1888879113794897,1.365785012159811,1.4336985005137255,1.167649477948923,1.1052026541336724,1.2576705494805065,1.4743062358378145,1.8714350038172338
34,1.1518042573547362,0.0,0.0,0.25652992725372314,3.0,2.8624517801777483,0.7599,0.41990000000000005,0.33999999999999997,0.5801,1.2417624569914836,1.000075023802345,1.847698375392143,1.9964185383008874,1.92027484090127,1.7470960891460214,1.816657866053569,1.4471317846756762,1.2760729545827412,1.3041213205098496,1.4503413923561115,1.7204866116613988,1.225844774404755,1.3114266002269657,1.4878358316543463,1.2319891504619433,1.1032218399560054,1.232309654240718,1.5132246941251828,1.9128566434621201
35,1.1470845268249512,0.0,0.0,0.27594560384750366,3.0,2.8602981085667523,0.7473000000000001,0.4102,0.33710000000000007,0.5898,1.2254608906138584,1.0,1.845452513536224,1.9989356500718294,1.9201081015569779,1.7386964949805412,1.8121319125070596,1.447418503749096,1.2502657397628745,1.2994607311990254,1.3899686449324078,1.81658601242563,1.2634516006235577,1.3074294584791373,1.4438343215781404,1.2763387696517399,1.0824180652418405,1.3301664514614797,1.5700380789959216,1.838275370695402
36,1.1443599097442627,0.0,0.0,0.260463148355484,3.0,2.86069397792182,0.76,0.40349999999999997,0.35650000000000004,0.5965,1.2447287768049313,1.0028926975586836,1.8559319067489155,1.9969402329086343,1.9241910337487145,1.7451133048138046,1.812192828149137,1.4521592834111674,1.2689447387709947,1.3092704544896665,1.4638278374586569,1.7587271840371135,1.2174746368242346,1.3393080649168596,1.4790293908180179,1.251909118174287,1.126368965944061,1.2236123213072871,1.5308790859359,1.8699100435237446
