epoch,loss,loss_natural,loss_robust,lambda_min,lambda_max,lambda_mean,acc_natural,acc_robust,robust_drop,attack_success_rate,alpha_c_0,alpha_c_1,alpha_c_2,alpha_c_3,alpha_c_4,alpha_c_5,alpha_c_6,alpha_c_7,alpha_c_8,alpha_c_9,beta_c_0,beta_c_1,beta_c_2,beta_c_3,beta_c_4,beta_c_5,beta_c_6,beta_c_7,beta_c_8,beta_c_9
81,1.0014295238494872,0.0,0.0,0.10000000149011612,1.579871416091919,0.7406925458432464,0.8147,0.5176000000000001,0.2970999999999999,0.48239999999999994,1.3231693384287608,1.0,1.9064132743479345,1.9875606911261674,1.991894698508865,1.8637390865389343,1.9068131821844585,1.6252875093303982,1.3451437190975375,1.3153145663878496,1.4786503308874261,1.999995868224317,1.0446773605883275,1.068205743799429,1.0545065713965374,1.067524715457731,1.0025811125250423,1.119139587482833,1.5538452305757176,1.6047836532983024
82,0.9897705109024048,0.0,0.0,0.10000000149011612,1.5963356494903564,0.7289549062014236,0.8161,0.5187999999999999,0.2973000000000001,0.48120000000000007,1.3161979843588436,1.0,1.9007787405682341,1.9920131721155112,1.9885493474238365,1.8538901726608081,1.9038109105566274,1.6154432769321725,1.3069553335609339,1.2917726917949783,1.477653768361377,1.9999959227983908,1.05176547329749,1.0669251180365873,1.0613367301423837,1.058679383429115,1.0013337211535716,1.124198738571323,1.5351287269836191,1.6193483336197445
83,0.9814360540962219,0.0,0.0,0.10000000149011612,1.5842174291610718,0.7247703328461903,0.8170999999999999,0.5183,0.29879999999999995,0.4817,1.3271711259851675,1.0,1.9101437043655864,1.9928334384318203,1.9879365723456264,1.8532332934991782,1.9060243493150872,1.6207237447924017,1.3150417201049494,1.2878748443730348,1.456503720234727,1.99999600450706,1.0518204385362317,1.0599428189684972,1.0503204313995282,1.068508068313989,1.0018711733391217,1.1118139510264482,1.5548768101445853,1.614143008466267
84,0.9786725480651856,0.0,0.0,0.10000000149011612,1.5960497856140137,0.7207951670717401,0.8194,0.5212,0.2982,0.4788,1.325936155246042,1.0,1.9005690041710348,1.9887015246369344,1.9909251336856266,1.8465541967040742,1.9074737324434168,1.6247536864731928,1.3198491450770737,1.2954638031742456,1.4572112093801084,1.9999959898726714,1.0534020290350365,1.0637964299877587,1.0562637157147499,1.0604725743803527,1.0022282667477111,1.1209462722549048,1.5451925105755897,1.6029203425892784
85,0.9741759273529053,0.0,0.0,0.10000000149011612,1.583131194114685,0.7163851657486937,0.819,0.5193,0.29969999999999997,0.4807,1.3148197786277518,1.0,1.9080292209030112,1.9930674764506346,1.9917338123102017,1.8482774758277951,1.9087563951302062,1.6123600030494163,1.2961178768016492,1.2840458340657033,1.4921280051131383,1.999995998104515,1.0540865546907001,1.074064903247082,1.0560839868262601,1.0790703528372527,1.0017534759648317,1.120496066025151,1.5773300106263222,1.6402630824262223
86,0.9718681656265259,0.0,0.0,0.10000000149011612,1.5749624967575073,0.7158182094164212,0.8114,0.517,0.2944,0.483,1.3173946370858975,1.0,1.9065604340999633,1.991203579451422,1.9904572140530248,1.8566295914637767,1.9141915850627147,1.611032632610682,1.2980959296531385,1.2859883213896885,1.4810151291625273,1.999906963094726,1.0597969955190674,1.0634989342116334,1.0586042693813744,1.0686228196029468,1.0006669448769612,1.1248255846140636,1.57942648708363,1.6338745511096457
87,0.9694714507293701,0.0,0.0,0.10000000149011612,1.5657774209976196,0.7132524041568532,0.8141,0.521,0.2931,0.479,1.3278367296814004,1.0,1.9016515495222244,1.9926265246423005,1.9909287108789624,1.8477062035704512,1.9063349239661564,1.6068568650413961,1.3045245954752578,1.2975913152060545,1.4690798347258507,1.999996067008094,1.059321469053283,1.059308860003186,1.0540503870190867,1.0672195591889988,1.0013356443561252,1.1253325878201847,1.5768581098302856,1.6347217474447187
88,0.9678233005523682,0.0,0.0,0.10000000149011612,1.5813730955123901,0.7099278601234221,0.8163,0.5197,0.2966,0.48029999999999995,1.3151334713182181,1.0,1.9092734478928548,1.9922259119160646,1.9918972080016075,1.854351637003672,1.9088045383048484,1.6094156570751648,1.2913658783563873,1.2793102261355467,1.4682694124748639,1.9999961798148387,1.0557421439748895,1.062108982249599,1.0505143352176831,1.0646031387626667,1.001321854188924,1.121605692922002,1.5779229195221611,1.5918884624910477
89,0.9603736164855957,0.0,0.0,0.10000000149011612,1.5645769834518433,0.7059256189009723,0.8176,0.5217,0.29589999999999994,0.47829999999999995,1.3126736976911344,1.0,1.907238613614036,1.9879787370676885,1.9948153559814024,1.8515505327288146,1.909218512227773,1.6089479255554315,1.2965350425456796,1.2852320390589096,1.457260146775209,1.9999962377426264,1.0579550519318837,1.0622376352929703,1.0560083840509205,1.0650521025938147,1.002260420328516,1.1152077312664608,1.5390593987291732,1.627823520499422
90,0.9586377961730957,0.0,0.0,0.10000000149011612,1.5470695495605469,0.7049182145796773,0.8164,0.5211,0.2953,0.4789,1.319399607760827,1.0,1.9037452106890471,1.9896906605157096,1.989382126447185,1.8481897576080868,1.9078711051770183,1.6081323843173054,1.296293309887352,1.2796626072710433,1.4755509622261653,1.9999960279830582,1.062818697956212,1.0769816301667783,1.051031372736177,1.0635553147176953,1.0009089156489848,1.1214484247710088,1.5620586564168906,1.6407164045611915
