epoch,loss,loss_natural,loss_robust,lambda_min,lambda_max,lambda_mean,acc_natural,acc_robust,robust_drop,attack_success_rate,alpha_c_0,alpha_c_1,alpha_c_2,alpha_c_3,alpha_c_4,alpha_c_5,alpha_c_6,alpha_c_7,alpha_c_8,alpha_c_9,beta_c_0,beta_c_1,beta_c_2,beta_c_3,beta_c_4,beta_c_5,beta_c_6,beta_c_7,beta_c_8,beta_c_9
1,2.213710319671631,0.0,0.0,0.5646841526031494,6.0,5.140731640179139,0.348,0.236,0.11199999999999999,0.764,1.0060948218835895,1.8454322321030794,1.7174746697516088,1.936405558720269,1.6921113128857235,1.9781799099939255,1.7572588698028604,1.9170410355643543,1.2379197729822924,1.6988924442959563,1.8799704096811203,1.5499718875226463,1.3431045762108416,1.3014110979216789,1.113990499540363,1.3270016929987447,1.0395199654962095,1.306188806853331,1.932232839067269,1.5413841070116634
2,1.9135050549316406,0.0,0.0,1.2095885276794434,6.0,5.246331960039066,0.4081,0.23460000000000003,0.1735,0.7654,1.0195823709678162,1.7873612608751068,1.8286450637880798,1.9699964059893127,1.7851872148416232,1.919328668843145,1.8662519772034472,1.9590443967248472,1.180762317479419,1.6226156193886876,1.7092855632152704,1.8087293251091257,1.150709440641086,1.1445596958975048,1.1330640465402237,1.2166503652587266,1.0763179539414622,1.520330551640152,1.9152346767123094,1.8128272484025687
3,1.815303604927063,0.0,0.0,1.1949872970581055,6.0,5.264135433889716,0.4578,0.2512,0.2066,0.7488,1.0091399664769087,1.6530919032328575,1.8629483838215508,1.988984188460328,1.8353466633945474,1.8767416431470905,1.8792473041188076,1.9148936902775484,1.1504184266795283,1.615385974154753,1.6851426295917054,1.8465312524219912,1.1812825004767884,1.0834638886439525,1.2401699077747668,1.1530604978351642,1.0870388051128144,1.4469897201299058,1.9036311353259074,1.853043158645825
4,1.7446112445449828,0.0,0.0,0.9264888763427734,6.0,5.2595603972139875,0.49550000000000005,0.2841,0.21140000000000003,0.7159,1.0130240084874966,1.5507050953862611,1.8546254860470668,1.990819140163529,1.8580712150124943,1.841887406680895,1.8680666331439981,1.820078421431734,1.178031980838922,1.5742376314099793,1.6770955659544375,1.861455420094073,1.1361158269140728,1.1059900058809753,1.2127328729995377,1.0686505840867377,1.106099779343666,1.4861348544240303,1.872776016249986,1.8611893452646788
5,1.6821518850326538,0.0,0.0,0.8472352623939514,6.0,5.257199111801889,0.5536,0.29879999999999995,0.2548,0.7012,1.0128851842392437,1.5044583127931561,1.8614637165728127,1.9932559914601125,1.8759252427484068,1.816275461860325,1.866802228991028,1.735408762531817,1.1259037512342642,1.5465830601084873,1.6618509402360453,1.879722987294502,1.1091451257695932,1.11293072041953,1.2117156775101372,1.0571872849598565,1.1136615940981813,1.478248223319383,1.8581286955367573,1.8768981399438571
6,1.6349425258636474,0.0,0.0,0.7106049060821533,6.0,5.249896421456886,0.5582,0.3173,0.2409,0.6827,1.0075338560601939,1.4233884250416475,1.8787909297991896,1.9937654504995517,1.9089020277228197,1.8126333034251962,1.882921446619741,1.7234830338021982,1.145731950355003,1.5139753333747845,1.6549166703163205,1.9086792188532211,1.1173195790146928,1.0850945028197734,1.2136247667205302,1.0610559282400418,1.1002587912332675,1.452362559640499,1.8246336208889857,1.8898541085860308
7,1.588272287902832,0.0,0.0,0.7367128133773804,6.0,5.2393044827844175,0.5880000000000001,0.3346,0.25340000000000007,0.6654,1.0267320103047755,1.358704431587473,1.8702847164915042,1.9956062489458362,1.913318304149696,1.7928396493882475,1.8616515199851502,1.658770829515384,1.143322183957795,1.5084267156508269,1.6403249791820946,1.900063303730372,1.1083678049809487,1.0819181618483171,1.1905379109370433,1.0576801330537138,1.0701841567178516,1.4275511149555216,1.865226475479048,1.8806898285970663
8,1.5483825159454345,0.0,0.0,0.7485775351524353,6.0,5.218509837489604,0.6016,0.3325,0.2691,0.6675,1.0174428691034731,1.280887043994406,1.8496621145921595,1.9885850294166818,1.9100533263457706,1.7744423538217764,1.8443720840737032,1.6213229004379428,1.1505720926367717,1.44626675024057,1.6300870509403746,1.9342565960286524,1.101741023075855,1.0959706910126044,1.2414045205811406,1.084276234097493,1.1102128278873766,1.4060872735269845,1.811013121129302,1.919830455499537
9,1.5149161043548585,0.0,0.0,0.5325520634651184,6.0,5.199395523656665,0.6373,0.35629999999999995,0.281,0.6437,1.0253492669986033,1.2408498397568608,1.8650975699924752,1.9897424692997847,1.9238111448409918,1.7665830225590855,1.8478087875849145,1.6158624796001502,1.1389940181351683,1.4616337371299335,1.676876833066916,1.9344805838811734,1.1145784742082172,1.1358943168464524,1.2213225669568153,1.0879810710087456,1.0785343198825026,1.3487552605626527,1.8144138581917415,1.9091838235440461
10,1.490111780357361,0.0,0.0,0.5768792629241943,6.0,5.186778012443991,0.653,0.3809,0.2721,0.6191,1.0221050566114733,1.194736749314896,1.8639239545368478,1.9914958190430156,1.936187205717082,1.7758872210217254,1.8450812723325647,1.58252989940936,1.1386705319899733,1.4339593502566637,1.6015901629577207,1.9266926071527974,1.1476864201943282,1.091409940243987,1.2153720532536811,1.0671380438158273,1.0681683370829238,1.3607257958263388,1.7472621254299,1.8524445758756165
11,1.4711446366500855,0.0,0.0,0.6390923857688904,6.0,5.164651419500561,0.6465000000000001,0.36939999999999995,0.2771000000000001,0.6306,1.0248119340223425,1.1729793380898283,1.8741622538212925,1.995439743141994,1.9401531341435658,1.7586202313528037,1.8410821381737204,1.5659917778981007,1.1424972233564958,1.4303198906466783,1.6403138664982202,1.9121535086570798,1.1224611787235035,1.1321695189341865,1.239233879786928,1.0671186803856774,1.0703421974426035,1.3567006255659606,1.76862045139303,1.9026007844359063
12,1.4527862741088866,0.0,0.0,0.5649595260620117,6.0,5.152938867164085,0.6676,0.38980000000000004,0.27779999999999994,0.6102,1.0294040197606587,1.1291363297216117,1.862057034926646,1.9943326711654663,1.93326528724807,1.755754835160492,1.8245180924530224,1.5467526805980125,1.149139698204177,1.4013358720428193,1.5799537613568708,1.937251569974758,1.1160986408248277,1.1117502210085348,1.2278839264379438,1.0884186648346883,1.0852055107541096,1.3520438262568715,1.7477809166359475,1.8890980476003778
13,1.4406456058502197,0.0,0.0,0.5604671239852905,6.0,5.1377733967188375,0.6716,0.37939999999999996,0.2922,0.6206,1.0280069027410443,1.1159164079314912,1.8581130056430006,1.9884924943489797,1.9473233841874105,1.7532132327404168,1.834456071829247,1.5496564603522611,1.1581920418897858,1.4025603840723062,1.6037449757461353,1.9160986535079645,1.1235464893643508,1.131841752535242,1.207774405284306,1.1393626501493137,1.0878227842433372,1.3738400277579228,1.7375501144267713,1.8715125343683736
14,1.4264691674041747,0.0,0.0,0.5607669949531555,6.0,5.131178551012902,0.6528,0.39459999999999995,0.2582000000000001,0.6054,1.039383937330807,1.1303731696989836,1.8705241948442386,1.9933944477144714,1.944251632446523,1.765952592005815,1.836513198550095,1.5442128632684498,1.155992660376117,1.4000849546983725,1.6213687005860116,1.924041317551947,1.1148430273660919,1.1086727081967132,1.238550220304133,1.0974612909814585,1.072981155132089,1.3241110473032802,1.7474452257156372,1.854126146382383
15,1.4200315422058105,0.0,0.0,0.5640944838523865,6.0,5.131906848429414,0.6940999999999999,0.4034,0.29069999999999996,0.5966,1.0363033976396332,1.0889176663840214,1.8546822290591267,1.9865299393148983,1.939547394242738,1.7496602245608863,1.8275069531882207,1.5482910091005018,1.1761824066376747,1.3731408796042128,1.5950389542543064,1.9284335865693933,1.134172191095474,1.0927557027553354,1.2160049481769961,1.0909383918928064,1.0999417170844115,1.3093911165471577,1.678697712281171,1.8162925237280023
16,1.408624696006775,0.0,0.0,0.4740605354309082,6.0,5.116316073385955,0.7,0.39490000000000003,0.3050999999999999,0.6051,1.0320950831903521,1.0959754346886559,1.852618933028882,1.9923888850395026,1.934666049145067,1.7505880408274852,1.8176291888327245,1.5223880911727086,1.1588998423208057,1.3808844708420736,1.618841166691402,1.9200266992954342,1.1365523054776594,1.1228386712501117,1.2181492397547378,1.1140336185465078,1.0804534171853224,1.3479460346729248,1.6862665838597681,1.8391105653075002
17,1.3997760890197755,0.0,0.0,0.33701279759407043,6.0,5.102794382578272,0.6916,0.3963,0.2953,0.6037,1.04715637630209,1.08296839477461,1.8512411459022775,1.9912139823674546,1.9441606022817703,1.7435895634429228,1.8239547389242656,1.5326901942567752,1.1643664178336064,1.3797201134664627,1.6217286772740163,1.9198177382159416,1.0864752390805412,1.1177836528519536,1.2684529714877038,1.1314398910078551,1.0791020762280126,1.371654944346689,1.726370494383985,1.8819097435992698
18,1.3917550376510621,0.0,0.0,0.43843579292297363,6.0,5.093980446495973,0.6929000000000001,0.39780000000000004,0.29510000000000003,0.6022,1.0339123077709655,1.0699373904396505,1.8614790704854005,1.9890529713057497,1.939510676866907,1.7428982480407675,1.8136549999037057,1.5137593721794655,1.1589684266873332,1.363654832400934,1.5890794141823068,1.9125345542912593,1.1401181339912707,1.124619474191495,1.2360012875798414,1.1443309933328263,1.0756854587198827,1.3296424842551542,1.6954222902312608,1.854441361049252
19,1.3855297163772582,0.0,0.0,0.3857748508453369,6.0,5.084375044878791,0.6753,0.4213,0.254,0.5787,1.0445838017231972,1.0777387210475209,1.864071820703004,1.9896761560074203,1.944177514756732,1.7446569436041595,1.8382565475180936,1.51060133425476,1.1717307945651472,1.3633218692696614,1.5944881957510244,1.9053983962749277,1.1113532427936563,1.1345144220630226,1.2368186139084798,1.1313906868400476,1.0600487143182389,1.3396465796643815,1.6760195021129325,1.8634550284851543
20,1.3810014184570312,0.0,0.0,0.4766250252723694,6.0,5.0776435822782,0.6995,0.4151,0.2844,0.5849,1.0666303482202009,1.0511068419727219,1.8638971650691898,1.990622346663414,1.9456366187776142,1.7486682874162485,1.8258115733066178,1.4957946319409343,1.1785767060106673,1.3683310241040672,1.5682938248300187,1.8951315901163595,1.1262301862087396,1.128807955995545,1.2438005660196094,1.1531556863004289,1.060121898760881,1.3397155667814757,1.7047598682096243,1.8671796276136432
21,1.3762084079742432,0.0,0.0,0.40996551513671875,6.0,5.078320970315763,0.6925,0.4224,0.2701,0.5776,1.0392097728636565,1.065394917412487,1.8506498632528592,1.9871285022677059,1.9419791097836117,1.7458294380046522,1.8122404987549843,1.4861073085414174,1.1695575015929045,1.3648064557243795,1.6049135121543083,1.9027658115567454,1.1262942043411763,1.1515661849999976,1.233101193862193,1.1702380454753671,1.0625504883353973,1.3384124458293476,1.679193732683616,1.8534688114205284
22,1.3729151197814942,0.0,0.0,0.4599462151527405,6.0,5.068748378997569,0.6867,0.4032,0.2835,0.5968,1.0561020642595218,1.0753952094051233,1.853150898233399,1.992692590369593,1.9500190089730656,1.7417278048937277,1.830846455395984,1.507468463514772,1.1689574761158974,1.3571667753522048,1.6486277360745403,1.8928514840962636,1.111000829950318,1.1581972709397221,1.251748992658942,1.1241295706585546,1.1210751350578445,1.388001258111061,1.688976320769171,1.8625024633334422
23,1.3664743419647216,0.0,0.0,0.39754754304885864,6.0,5.0636444994250835,0.6805,0.41490000000000005,0.26559999999999995,0.5851,1.058146670956136,1.0795246301709538,1.8500324146217093,1.9897998726886252,1.9472126579650528,1.7457095991315135,1.8235512072472926,1.5101555646837825,1.1841482384430477,1.3642767905579198,1.6092380343190849,1.9124869416131998,1.1411177087622835,1.1674704899263504,1.271533156904723,1.1652124763449745,1.0576341283290893,1.3589443514109267,1.7349451466289627,1.848534971856705
24,1.3608354480743408,0.0,0.0,0.3835815489292145,6.0,5.063001579031005,0.7181,0.4343,0.28379999999999994,0.5657,1.0592095793970406,1.0619893787462082,1.8423539192780205,1.9897611970486848,1.9380346750054518,1.7468449032824973,1.819776307591392,1.4897910414449393,1.1899150289842844,1.3520220877874234,1.5852636992169158,1.8819021117656738,1.1174486439551234,1.1577809634415999,1.2317024094369404,1.1429521397251607,1.0585424790297018,1.2971126447858103,1.6356502746986916,1.8535003735281317
25,1.3581567395019531,0.0,0.0,0.3589022159576416,6.0,5.05884896641802,0.718,0.4205,0.2975,0.5795,1.0606373682656252,1.0521213724790022,1.8629131420798923,1.987160797619149,1.9496497613999544,1.755201885157534,1.831117849215827,1.4979229604496676,1.1881663027931662,1.365003159893748,1.6129876091657087,1.9047851748478688,1.127835525271228,1.184866626244372,1.2572910392375858,1.1383148629951965,1.071336598652403,1.34498224904775,1.6939989678999956,1.8507604754489402
26,1.3571962220001221,0.0,0.0,0.39647018909454346,6.0,5.044132103395584,0.7158,0.4262,0.28959999999999997,0.5738,1.0541703704068117,1.0617727029049182,1.8688851948589316,1.9856975352977548,1.9533803063585324,1.756177658315205,1.8205301837847971,1.5047958366706242,1.189962207508819,1.369309882678644,1.5746963100360178,1.8713871435741025,1.1351390445933622,1.1916659097842244,1.2291151102241653,1.1397343495922625,1.0695524194356425,1.3099472547126243,1.6931388457412915,1.8438461015901297
27,1.350015710067749,0.0,0.0,0.429455041885376,6.0,5.048555822933421,0.6924,0.40980000000000005,0.28259999999999996,0.5902,1.0730062357300079,1.0485278596658536,1.866446295052843,1.992091368226444,1.948022657952955,1.7517426635908044,1.8171657689696992,1.495553634050862,1.1798566649941837,1.357598914209839,1.627849451721172,1.9026561316931645,1.1489282136073198,1.1840511801297708,1.2891552609860744,1.1615145276574528,1.087553744120976,1.3384588764756538,1.6962833816133192,1.880919914111457
28,1.3484843173980714,0.0,0.0,0.43908703327178955,6.0,5.038896471643082,0.6903,0.3923,0.29800000000000004,0.6077,1.0784982860545673,1.0469393050274276,1.8535845764457721,1.9881646730710782,1.9538390282779703,1.7454164058656034,1.8318901528482852,1.493900212485467,1.1666538861706435,1.3577828324969163,1.5977914882133075,1.90656283657874,1.1520303359726811,1.1525805075760083,1.2594846718756438,1.1862621895797418,1.0445182231990882,1.3310324057288792,1.6757373075046198,1.8567807366476035
29,1.3468524619674682,0.0,0.0,0.3536623418331146,6.0,5.0369666775169275,0.6961999999999999,0.4195,0.27669999999999995,0.5805,1.0659759069037864,1.0429532466946965,1.8614244272032052,1.9892803869588906,1.9560279776068294,1.7566713509352312,1.836479279391296,1.4664406840453672,1.213003050945604,1.3610343920910144,1.5985428097912722,1.8401119809626314,1.1482326426469456,1.1743934209389455,1.2582567049109417,1.158194430039057,1.0551184287766362,1.350299055314125,1.7146675077545674,1.8844308401922436
30,1.3417652131652833,0.0,0.0,0.32577937841415405,6.0,5.0315507476592005,0.7086,0.4094,0.2992,0.5906,1.076469549437618,1.035438615342845,1.8523679151559425,1.993628998241766,1.9404829655157025,1.7361825637500305,1.8223071323941127,1.4627176517110956,1.1835579661762012,1.3386587526487268,1.5756186874931122,1.8968240446446802,1.1604169421183788,1.1740553924799575,1.2539860848575601,1.1681434589883555,1.066524174817078,1.370634114650814,1.7136467326327662,1.8272021319860083
31,1.3403707125854492,0.0,0.0,0.3184526860713959,6.0,5.041998029060071,0.7178,0.4275,0.2903,0.5725,1.0892532094360312,1.039700483117262,1.8636581339799534,1.9830654164409394,1.9521235498930791,1.7589803717630295,1.8180890955278635,1.5037488455662642,1.1918697686451476,1.3760655115327567,1.6217384560943564,1.8758301216623057,1.168993690129741,1.1255863051280341,1.2343933603647725,1.1649143424485346,1.074708681582185,1.3308094236856836,1.672858949512472,1.860828960338212
